Year,Version,Period,DriverMeasure,Value
FY2026-27,Budget,Full Year,SG Rate,0.12
FY2026-27,Budget,Full Year,Maximum Contribution Base,270830
FY2026-27,Budget,Full Year,Payroll Tax Rate,0.0545
FY2026-27,Budget,Full Year,Payroll Tax Threshold,1200000
FY2026-27,Budget,Full Year,Indexation,0.03
FY2026-27,Budget,Full Year,Fuel Price,1.85
FY2026-27,Budget,Full Year,Utilisation,0.75
FY2025-26,Actual,Full Year,SG Rate,0.12
FY2025-26,Actual,Full Year,Maximum Contribution Base,250000
FY2025-26,Actual,Full Year,Payroll Tax Rate,0.0545
FY2025-26,Actual,Full Year,Payroll Tax Threshold,1200000
FY2025-26,Actual,Full Year,Indexation,0.00
FY2025-26,Actual,Full Year,Fuel Price,1.78
FY2025-26,Actual,Full Year,Utilisation,0.72
