Year,Version,Period,Entity,CostCentre,Account,PnLMeasure,Value
FY2026-27,Budget,Jul,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Aug,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Sep,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Oct,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Nov,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Dec,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Jan,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Feb,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Mar,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Apr,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,May,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Jun,CivilCo,Earthworks,Subcontractor Costs,Amount,260000
FY2026-27,Budget,Jul,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Aug,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Sep,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Oct,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Nov,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Dec,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Jan,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Feb,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Mar,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Apr,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,May,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Jun,CivilCo,Earthworks,Consumables,Amount,48000
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,May,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Subcontractor Costs,Amount,95000
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,May,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Consumables,Amount,22000
FY2026-27,Budget,Jul,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Aug,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Sep,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Oct,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Nov,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Dec,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Jan,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Feb,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Mar,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Apr,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,May,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Jun,CivilCo,Workshop,Repairs and Maintenance,Amount,120000
FY2026-27,Budget,Jul,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Aug,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Sep,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Oct,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Nov,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Dec,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Jan,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Feb,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Mar,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,Apr,CivilCo,Site Admin,Site Overheads,Amount,65000
FY2026-27,Budget,May,CivilCo,Site Admin,Site Overheads,Amount,65000
