Year,Version,Period,Entity,CostCentre,RevenueMeasure,Value
FY2026-27,Budget,Jul,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Jul,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Jul,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Jul,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Aug,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Aug,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Aug,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Aug,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Sep,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Sep,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Sep,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Sep,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Oct,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Oct,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Oct,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Oct,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Nov,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Nov,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Nov,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Nov,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Dec,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Dec,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Dec,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Dec,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Jan,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Jan,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Jan,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Jan,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Feb,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Feb,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Feb,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Feb,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Mar,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Mar,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Mar,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Mar,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Apr,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Apr,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Apr,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Apr,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,May,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,May,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,May,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,May,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Jun,CivilCo,Earthworks,Billable Hours,5200
FY2026-27,Budget,Jun,CivilCo,Earthworks,Charge Rate,295
FY2026-27,Budget,Jun,CivilCo,Earthworks,Plant Hire Revenue Amount,180000
FY2026-27,Budget,Jun,CivilCo,Earthworks,Fuel Litres,88000
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Jul,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Aug,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Sep,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Oct,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Nov,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Dec,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Jan,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Feb,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
