Year,Version,Period,Entity,CostCentre,Role,WorkforceMeasure,Value
FY2026-27,Budget,Full Year,CivilCo,Earthworks,Operator,Base Pay Rate,125000
FY2026-27,Budget,Jul,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Aug,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Sep,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Oct,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Nov,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Dec,CivilCo,Earthworks,Operator,Headcount,18
FY2026-27,Budget,Jan,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,Feb,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,Mar,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,Apr,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,May,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,Jun,CivilCo,Earthworks,Operator,Headcount,20
FY2026-27,Budget,Full Year,CivilCo,Earthworks,Supervisor,Base Pay Rate,165000
FY2026-27,Budget,Jul,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Aug,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Sep,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Oct,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Nov,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Dec,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Jan,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Feb,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Mar,CivilCo,Earthworks,Supervisor,Headcount,2
FY2026-27,Budget,Apr,CivilCo,Earthworks,Supervisor,Headcount,2
